prompt,completion
"q:申請【交通費】報銷方式及檢附單據？
 a: END"," 1.BPM申請類別【一般支出】及檢附【TA605-02交通費用申請單(如下方附件檔案)】，並將流程跑完之申請單及相關單據送至台北財務室。

2.檢附單據如下:

A.車票：請提供有金額之車票正本、購票證明、乘車證明、計程車收據等。
B.停車費：請提供發票正本並打上公司統編或合法收據。
C.過路費：請提供ETC完整通行紀錄，需含車號通行時間扣款金額等資訊。
D.油資里程補助：每公里補助6元(費用由客戶支付者依客戶標準)，需提供含統編之發票(加油站或購買油品)。

＊務必要將1.費用申請及報銷單2.發票或收據等資料，備齊列印出並送至台北財務室才算完成報銷的流程喔！

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:一趟公務交通費就需要提交一張表單嗎？還是同性質的可以填在同一張即可？
 a: END"," 可以。可多筆交通費一起報銷，請參閱問題【申請【交通費】報銷方式及檢附單據？】

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:計程車或是高鐵費用的未稅金額及營業稅該如何填寫？
 a: END"," 1.計程車無營業稅。
2.高鐵車票：
未稅金額=>車票總金額/1.05
營業稅稅金=>未稅金額*5%

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:申請【交際費】報銷方式及檢附單據？
 a: END"," 原則是：與客戶餐敘才可直接費用報銷，如為致贈禮品，請參閱問題【送禮給客戶，費用有沒有上限呢？】

1.BPM申請類別【交際費】，並將流程跑完之申請單及相關單據請送至台北財務室。
2.檢附單據：請提供發票正本並打上公司統編或取具合法收據。
3.若有多筆交際費請添加多行，交際費請務必打上【專案代碼】，盡可能不要以【部門】代碼申請 ，交際費務必打上【客戶公司名稱】。

＊務必要將1.費用申請及報銷單2.發票或收據等資料，備齊列印出並送至台北財務室才算完成報銷的流程喔！

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:送禮給客戶，費用有沒有上限呢？
 a: END"," 有上限。送禮給客戶須先請購採購取得主管核准後始能購買禮品致贈給客戶。

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:有多項費用要申請，可以填在同一張費用申請及報銷單上嗎？
 a: END"," 若其費用的【申請類別相同】是可以填在同一張費用申請，惟需注意各用途須分項目各別說明。
EX：交通費及交際費無法放在同一張費用申請及報銷單申請。

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:預支費用多久要報銷完成？
 a: END"," 一個月內。應於收到發票收據後盡快報銷。

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:申請費用報銷流程及檢附憑證說明？
 a: END"," 費用報銷流程及檢附憑證重點說明如下，詳細說明請參閱WITS費用報銷說明_2022.09。

•費用憑證包括符合稅法規定之統一發票及收據，憑證上必要登載事項為公司名稱或公司統一編號。未登載公司名稱或公司統一編號之統一發票或收據原則不予報銷(例外情形請個案諮詢會計部聯繫窗口)。費用憑證範例請參閱附件「WITS 費用報銷說明_2022.09」。
•費用報銷需列印經核准之BPM/OSS申請單，並將憑證正本黏貼於A4紙張一併送交至財務室，才算完成報銷流程。分流上班費用報銷單繳交方式及憑證黏貼標準請參閱附件「WITS 費用報銷說明_2022.09」第9~10頁。
•申請報銷金額為實際支付給商家之金額(發票上記載之銷售額)，不包括以個人紅利折抵之金額。
(例如:購買商品價格100元，以個人紅利折抵10元，實際支付給商家90元，發票上記載銷售額(含稅)為90元，實際可報銷費用為90元)

Contact:高譽慈/#8840/Elsakao@wistronits.com
曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:申請【差旅費】報銷方式及檢附單據？
 a: END"," 1.BPM申請類別【出差申請及報銷單】，並將流程跑完之申請單及相關單據送至台北財務室。
2.檢附單據如下：

A.機票款：
a.原則上由行政代訂，出差者僅需檢附登記證。
b.若員工自行訂購機票，需檢附登機證、機票票根或電子機票、及購票證明單正本報銷。
◎若遺失登機證者，向航空公司申請搭機證明。
B.交通費：請提供有金額之車票正本、購票證明、乘車證明、計程車收據等…
C.簽證費：請提供簽證之費用單據正本及當地簽證正(影)本
D.旅平險：由行政代訂，於出差申請單填寫需求
E.手機通訊：請於報銷時提供電信費帳單正(影)本
F.住宿費：請提供發票/收據正本並打上公司抬頭及統編

＊務必要將1.出差及銷差申請單2.機票、發票或收據等資料，備齊列印出並送至台北財務室才算完成報銷的流程喔！

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:申請國內外出差日支費怎麼計算？
 a: END"," A: 日本，15日(含)以內：5000日幣，16日(含)以內:5000日幣，31日(含)以上：5000日幣
B: 美國紐約，15日(含)以內：60美金，16日(含)以內:51美金，31日(含)以上：45美金
C: 美國地區紐約以外，15日(含)以內：50美金，16日(含)以內:42.5美金，31日(含)以上：37.5美金
D: 歐洲、蘇俄，15日(含)以內：60美金，16日(含)以內:30美金，31日(含)以上：30美金
E: 加拿大、韓國、香港、澳洲、紐西蘭、新加坡，15日(含)以內：45美金，16日(含)以內:23美金，31日(含)以上：23美金
F: 中南美、非洲諸國、中東、印度、泰國、亞洲其他地區，15日(含)以內：30美金，16日(含)以內:15美金，31日(含)以上：15美金
G: 大陸地區，15日(含)以內：240人民幣，16日(含)以內:180人民幣，31日(含)以上：180人民幣
H: 國內出差，500新台幣/日

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:申請國內外出差住宿費怎麼計算？
 a: END"," A: 日本，13500日幣
B: 歐洲、美國紐約、蘇俄，115美金
C: 美國紐約以外、加拿大、韓國、香港、澳洲、紐西蘭、新加坡，95美金
D: 中南美、非洲諸國、中東、印度、泰國、亞洲其他地區，85美金
E: 大陸地區，600人民畢
F: 國內，2000新台幣

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:出差至國外，差旅費為外幣會如何換算？
 a: END"," 1.申請月份當月之Booking Rate。
2.銀行之換匯水單。
3.信用卡刷卡明細單。
三種方式皆可，請按對自己有利方式做選擇。

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:國外的飯店與支出收據需載明公司抬頭及統編嗎？
 a: END"," 一定要抬頭。
出差國外住宿單據抬頭一定要登打公司名稱抬頭 【緯創軟體股份有限公司】或 【Wistron Information Technology and Services Corporation】，中英文皆可 。

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:我想要預支出差的旅費該如何申請？
 a: END"," 1.BPM表單【出差及銷差申請單】類別為【出差申請】。
2.預支申請需於出差事實發生前將「出差及銷差申請單」列印出送至台北財務室。
3.預支費用請勿超估太多，以免預支費用>實際費用，需匯回公司，造成麻煩。

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:若遇到年底，我人在出差，差旅費來不及送到台北會計部報銷怎麼辦？
 a: END"," 請於財務公告日之前將權責主管核准暫估11及12月份出差旅費之費用(包含日支費&交通費&住宿費等相關費用)E-Mail給會計部同仁做暫估入帳，逾期將不再收單，該費用將不予以入帳。
E-Mail應檢附內容：
(A)權責主管核准旅費金額。
(B)出差及銷差申請單(不論是否有預支旅費皆要提供)。
(C)掃描交通費單據，待實際報銷時再提供正本。
(D)掃描住宿費單據，待實際報銷時再提供正本。(如尚未取具發票，請提供租約)

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:若出差期間是跨年度，趕不上年底報銷怎麼報銷？
 a: END"," 如員工出差期間2022/11/25~2023/02/28 (已上WFS 申請BPM填寫【出差及銷差申請單】)請於財務公告日之前將權責主管核准暫估11及12月份出差旅費之費用(包含日支費&交通費&住宿費等相關費用)E-Mail給會計部同仁做暫估入帳，逾期將不再收單，該費用將不予以入帳。

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:預支差旅費多久要報銷完成？
 a: END"," 10日內。依出差管理辦法規定，出差人員回國後，於十日內未報銷費用，公司得自員工下次薪資中扣抵全額預支金。

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:BPM表單申請提交後我要到哪裡查看已提交的表單？
 a: END"," BPM首頁中【進行中】表單。

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:我可以幫別人填費用申請及報銷單嗎？
 a: END"," 可以。【申請人】及【申請部門】需要填寫實際報銷同仁姓名及部門。

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
