question,status,answer
您好，請教一下，我從去年未休完帶來今年的特休假，要如何從HRMS 系統上看出還剩幾天沒休到呢？系統上面只會顯示去年加今年總共多少的樣子,True,"您可以至HR Portal的""我的假期查詢""中查詢，當中會顯示您去年剩餘的特休假天數以及今年可休的特休假天數，您可以計算出還剩下多少天未休。如果有任何疑問，歡迎聯絡Yui/#8836/YuiWong@wistronits.com。"
"嗨
最近系統
很像蠻多人遇到此",False,很抱歉，我無法回答以上問題，請聯絡8855。
"卡在沒有權限的頁面
無法操作了",False,很抱歉，我無法回答以上問題，請聯絡8855。
"哈囉
我12/9要兵役體檢 想要請公假 但是目前沒有這個選項可以選 可以麻煩協助一下嗎？",True,請將教召令寄給人資部承辦人，人資部會於系統放上公假時數。至HR Portal請假時，記得將教召令上傳於附件供主管簽核參考。如果您還有其他問題，可以聯絡人資部承辦人Yui，電話號碼是#8836，Email是YuiWong@wistronits.com。
"請問資產盤點
我要怎麼上傳？",False,很抱歉，我無法回答以上問題，請聯絡8855。
請問~~如果同仁想改英文名字，那可能email address會需要一起修改，請問同仁需要如何申請呢? 謝謝,True,很抱歉，我無法回答以上問題，請聯絡IT部門相關人員尋求協助。您可以聯繫謝悰宇/8965/SamXie@wistronits.com或高唯朕/8813/WilliamKao@wistronits.com。
"Hello~
想問個問題, 軟體員工 當天生日有什麼福利?",True,為祝賀同仁生日，福委會將致贈生日禮券500元。Choya/#8904/ChoyaLee@Wistronits.com
"想請問昨天上課React說有code放在雲端，同仁在詢問相關路徑～
說是一個壓縮檔!",True,很抱歉，我無法回答以上問題，請聯絡相關課程講師或IT人員尋求協助。您可以詢問您的主管或是參考公司內部通訊系統中相關課程的聯絡人資訊。如果需要更進一步的協助，請聯絡8855。
請問駐點人員要手術要申請保險，申請書應該從哪裡下載,False,很抱歉，我無法回答以上問題，請聯絡8855。
HRMS 加班請假系統有連結嗎？,True,是的，HRMS請假加班系統的連結為：https://hrmsportal.wistronits.com/portal/。若需要透過VPN登入，請使用 SSL VPN(PaloAlto) 進行連線，使用手冊如下連結：https://freefiles.wistronits.com/Wistronits/PaloAltoSSLVPN/。若有任何問題，請聯絡謝悰宇/8965/SamXie@wistronits.com。
